# Information about metabolites deregulated. Metabolite identification was done with Pathos (using the m/z value) or and KEGGREST (using the chemical formula estimated with an in house MATLAB script). ""Metabolite identification"", ""Search engine"" and ""KEGG db identifier"" columns were left empty when neither chemical formula nor m/z were found in the database. Columns starting with ""Mlp"" indicate the fold change of the metabolite in the transgenic line expressing the corresponding CE.																		
m/z	Molecular formula	Metabolite identification	Search engine	KEGG db identifier	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
172.061531	C7H11NO4	5-Deoxy-5-aminoshikimic acid	KEGGREST	C12121	0	0	0	0	0	0	0	-2.230162764	0	0	0	0	0	0
172.061531	C7H11NO4	"(2S,5S)-trans-Carboxymethylproline"	KEGGREST	C17366	0	0	0	0	0	0	0	-2.230162764	0	0	0	0	0	0
172.061531	C7H11NO4	2-Aminovalienone	KEGGREST	C21248	0	0	0	0	0	0	0	-2.230162764	0	0	0	0	0	0
173.009161	C6H6O6	cis-Aconitate	Pathos	C00417	-2.093467576	0	-4.117182343	0	0	-2.575608793	0	0	0	0	0	0	0	0
173.009161	C6H6O6	trans-Aconitate	KEGGREST	C02341	-2.093467576	0	-4.117182343	0	0	-2.575608793	0	0	0	0	0	0	0	0
173.009161	C6H6O6	Dehydroascorbate	Pathos	C05422	-2.093467576	0	-4.117182343	0	0	-2.575608793	0	0	0	0	0	0	0	0
175.024811	C6H8O6	Ascorbate	Pathos	C00072	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	D-Glucuronolactone	Pathos	C02670	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	2-Hydroxy-3-oxoadipate	Pathos	C03217	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	L-xylo-Hexulonolactone	Pathos	C03289	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	"D-Glucurono-6,2-lactone"	KEGGREST	C03387	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	5-Dehydro-4-deoxy-D-glucuronate	Pathos	C04053	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate"	Pathos	C04349	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	"(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate"	KEGGREST	C04471	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	Parapyruvate	Pathos	C06033	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	D-Galacturonolactone	KEGGREST	C06430	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	"2-Dehydro-D-glucono-1,5-lactone"	KEGGREST	C06440	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	"Propane-1,2,3-tricarboxylate"	KEGGREST	C19806	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	Erythorbic acid	KEGGREST	C20364	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.024811	C6H8O6	3-Dehydro-scyllo-inosose	KEGGREST	C21643	0	0	-2.984910825	0	0	0	0	0	0	0	0	0	-2.316238291	0
175.040067	C10H8O3	"1,3,8-Naphthalenertriol"	KEGGREST	C01173	5.263975714	0	0	0	0	0	0	0	0	0	0	0	0	0
175.040067	C10H8O3	4-Methylumbelliferone	KEGGREST	C03081	5.263975714	0	0	0	0	0	0	0	0	0	0	0	0	0
175.040067	C10H8O3	Herniarin	KEGGREST	C09268	5.263975714	0	0	0	0	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	3-Propylmalate	Pathos	C02123	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	(2S)-2-Isopropylmalate	Pathos	C02504	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	(R)-2-(n-Propyl)-malate	KEGGREST	C03328	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	"(2R,3S)-3-Isopropylmalate"	Pathos	C04411	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	2-Propylmalate	Pathos	C05994	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
175.061196	C7H12O5	Validone	KEGGREST	C21371	0	0	0	0	-2.069090454	0	0	0	0	0	0	0	0	0
185.035651	C10H6N2O2	4-Hydroxyindole-3-carbonyl nitrile	KEGGREST	C22016	0	0	0	0	0	0	0	0	0	0	0	0	-2.198563977	0
186.113566	C9H17NO3	8-Amino-7-oxononanoate	Pathos	C01092	0	0	2.015681336	0	0	0	0	0	0	0	0	0	0	2.130120876
186.113566	C9H17NO3	(E)-2-Butenyl-4-methyl-threonine	KEGGREST	C12029	0	0	2.015681336	0	0	0	0	0	0	0	0	0	0	2.130120876
187.024811	C7H8O6	"(Z)-But-1-ene-1,2,4-tricarboxylate"	Pathos	C04002	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.024811	C7H8O6	"(Z)-But-2-ene-1,2,3-tricarboxylate"	Pathos	C04225	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.024811	C7H8O6	(E)-3-(Methoxycarbonyl)pent-2-enedioate	KEGGREST	C11514	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.024811	C7H8O6	(E)-2-(Methoxycarbonylmethyl)butenedioate	KEGGREST	C11515	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.024811	C7H8O6	trans-Homoaconitate	KEGGREST	C16579	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.024811	C7H8O6	2-Methyl-trans-aconitate	KEGGREST	C21250	0	0	-2.981659249	0	0	0	0	0	0	-2.090426934	-2.062661642	0	0	0
187.051301	C10H8N2O2				0	0	0	0	0	0	0	0	0	0	0	0	-2.098720115	0
188.056445	C7H11NO5	N-Acetyl-L-glutamate	Pathos	C00624	0	0	0	0	-2.314462952	0	0	0	0	0	0	0	0	0
188.056445	C7H11NO5	L-2-Amino-6-oxoheptanedioate	Pathos	C03871	0	0	0	0	-2.314462952	0	0	0	0	0	0	0	0	0
188.056445	C7H11NO5	AminoDHQ	Pathos	C12109	0	0	0	0	-2.314462952	0	0	0	0	0	0	0	0	0
189.113232	C9H18O4				0	0	2.129472982	0	0	0	0	0	0	0	0	0	0	0
191.107753	C12H16O2	Thymyl acetate	KEGGREST	C09909	0	0	0	0	0	0	0	0	0	0	3.637316425	0	0	0
191.107753	C12H16O2	Senkyunolide	KEGGREST	C17853	0	0	0	0	0	0	0	0	0	0	3.637316425	0	0	0
191.107753	C12H16O2	Sedanonic acid lactone	KEGGREST	C17875	0	0	0	0	0	0	0	0	0	0	3.637316425	0	0	0
191.107753	C12H16O2	"(2E,5S,6E,8E,10E)-5-Hydroxydodeca-2,6,8,10-tetraenal"	KEGGREST	C22087	0	0	0	0	0	0	0	0	0	0	3.637316425	0	0	0
196.025146	C8H7NO5	"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate"	Pathos	C04604	0	-2.723927333	0	0	0	0	0	0	-2.130550337	-2.19663157	-2.285797752	-2.32488638	0	0
196.025146	C8H7NO5	Clavulanate-9-aldehyde	Pathos	C06661	0	-2.723927333	0	0	0	0	0	0	-2.130550337	-2.19663157	-2.285797752	-2.32488638	0	0
196.025146	C8H7NO5	TRIBOA	KEGGREST	C15771	0	-2.723927333	0	0	0	0	0	0	-2.130550337	-2.19663157	-2.285797752	-2.32488638	0	0
197.009161	C8H6O6	"3,4-Dihydroxyphthalate"	KEGGREST	C03223	0	0	-2.02780616	0	0	-2.132640523	0	0	0	0	0	0	0	0
197.009161	C8H6O6	"4,5-Dihydroxyphthalate"	Pathos	C03233	0	0	-2.02780616	0	0	-2.132640523	0	0	0	0	0	0	0	0
198.056052	C12H9NO2	Dictamnine	KEGGREST	C10660	0	0	-2.003871756	0	2.018307133	0	0	0	0	0	0	0	-2.003871756	0
198.056052	C12H9NO2	Isodictamnine	KEGGREST	C10697	0	0	-2.003871756	0	2.018307133	0	0	0	0	0	0	0	-2.003871756	0
198.056052	C12H9NO2	5-Nitroacenaphthene	KEGGREST	C19269	0	0	-2.003871756	0	2.018307133	0	0	0	0	0	0	0	-2.003871756	0
198.056052	C12H9NO2	4-Nitrobiphenyl	KEGGREST	C19473	0	0	-2.003871756	0	2.018307133	0	0	0	0	0	0	0	-2.003871756	0
199.024811	C8H8O6	4-Maleylacetoacetate	Pathos	C01036	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	4-Fumarylacetoacetate	Pathos	C01061	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	2-Hydroxy-5-carboxymethylmuconate semialdehyde	Pathos	C04642	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate"	Pathos	C04783	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	3-Carboxymethylmuconate	KEGGREST	C05592	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	"(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate"	Pathos	C06318	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.024811	C8H8O6	"Phthalate 3,4-cis-dihydrodiol"	KEGGREST	C18314	0	0	-2.70370318	0	0	0	0	0	0	0	0	0	0	0
199.051301	C11H8N2O2				0	0	0	0	2.555856359	0	0	0	0	0	0	0	-2.469700002	0
200.129216	C10H19NO3				0	0	2.292615513	0	0	0	0	0	0	0	0	0	0	0
202.072096	C8H13NO5	N2-Acetyl-L-aminoadipate	KEGGREST	C12986	0	0	-2.765353881	0	0	0	0	0	0	0	0	0	0	0
202.087352	C12H13NO2	Shihunine	KEGGREST	C10615	2.553547659	0	0	0	0	0	0	0	0	0	0	0	0	0
202.087352	C12H13NO2	Indolebutyric acid	KEGGREST	C11284	2.553547659	0	0	0	0	0	0	0	0	0	0	0	0	0
205.035376	C7H10O7	"(R)-2-Hydroxybutane-1,2,4-tricarboxylate"	Pathos	C01251	0	0	-2.609161797	0	0	-2.466067514	0	0	0	0	0	0	0	0
205.035376	C7H10O7	2-Methylcitrate	Pathos	C02225	0	0	-2.609161797	0	0	-2.466067514	0	0	0	0	0	0	0	0
205.035376	C7H10O7	"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate"	Pathos	C04593	0	0	-2.609161797	0	0	-2.466067514	0	0	0	0	0	0	0	0
205.035376	C7H10O7	Homoisocitrate	Pathos	C05662	0	0	-2.609161797	0	0	-2.466067514	0	0	0	0	0	0	0	0
208.097916	C11H15NO3	Tyr-OEt	KEGGREST	C01458	0	0	2.067163289	0	0	0	0	0	0	0	0	0	0	0
208.097916	C11H15NO3	Anhalamine	KEGGREST	C12231	0	0	2.067163289	0	0	0	0	0	0	0	0	0	0	0
208.097916	C11H15NO3	p-Lactophenetide	KEGGREST	C14262	0	0	2.067163289	0	0	0	0	0	0	0	0	0	0	0
208.097916	C11H15NO3	Propoxur	KEGGREST	C14334	0	0	2.067163289	0	0	0	0	0	0	0	0	0	0	0
210.056052	C13H9NO2	2-Nitrofluorene	KEGGREST	C10923	0	0	0	0	0	2.04798022	0	0	0	0	0	0	0	0
210.056052	C13H9NO2	"3-Amino-6H-dibenzo[b,d]pyran-6-one"	KEGGREST	C14952	0	0	0	0	0	2.04798022	0	0	0	0	0	0	0	0
211.07243	C9H12N2O4				0	0	0	0	0	0	0	0	0	2.330927078	0	0	0	0
214.050966	C12H9NO3	Robustine	KEGGREST	C10736	0	0	0	0	0	2.538787926	0	0	0	0	0	0	0	0
214.144866	C11H21NO3	Ethyl 3-(N-butylacetamido)propionate	KEGGREST	C18830	0	0	0	0	-2.48339205	0	0	0	0	0	0	0	0	0
215.019726	C8H8O7	5-Carboxy-2-oxohept-3-enedioate	Pathos	C04052	0	0	-2.723061002	0	0	-2.723061002	0	0	-2.723061002	-2.723061002	-2.237467766	0	0	0
215.019726	C8H8O7	5-Carboxymethyl-2-hydroxymuconate	Pathos	C04186	0	0	-2.723061002	0	0	-2.723061002	0	0	-2.723061002	-2.723061002	-2.237467766	0	0	0
215.019726	C8H8O7	"4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate"	KEGGREST	C18345	0	0	-2.723061002	0	0	-2.723061002	0	0	-2.723061002	-2.723061002	-2.237467766	0	0	0
215.10373	C9H16N2O4	gamma-Glutamyl-gamma-aminobutyraldehyde	Pathos	C15700	3.687763813	0	0	0	0	0	0	0	0	0	0	0	0	0
216.05136	C8H11NO6	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate	Pathos	C04690	-2.231041923	0	0	0	0	0	0	-2.379089967	0	0	0	0	0	0
217.035376	C8H10O7				0	0	-2.237479609	0	0	0	0	0	0	0	0	0	0	0
223.061196	C11H12O5	Sinapate	Pathos	C00482	0	0	-3.50261754	0	0	-3.666961998	-3.120427289	0	0	-2.434932054	-2.299824997	0	0	0
223.061196	C11H12O5	2-Benzylmalic acid	KEGGREST	C20653	0	0	-3.50261754	0	0	-3.666961998	-3.120427289	0	0	-2.434932054	-2.299824997	0	0	0
223.061196	C11H12O5	3-Benzylmalic acid	KEGGREST	C20654	0	0	-3.50261754	0	0	-3.666961998	-3.120427289	0	0	-2.434932054	-2.299824997	0	0	0
225.004076	C9H6O7				-2.466075329	-2.174306425	-3.490655139	0	0	-2.934644597	0	0	0	0	0	0	0	0
227.019726	C9H8O7				0	0	-3.115747522	0	0	0	0	0	0	0	0	0	0	0
227.165267	C13H24O3				0	0	2.165493002	0	0	0	0	0	0	0	0	0	0	0
228.160516	C12H23NO3				0	0	2.396640597	0	0	0	0	0	0	0	0	0	0	0
233.066676	C9H14O7	(R)-(Homo)3-citrate	KEGGREST	C16598	0	0	-2.014292419	0	0	0	0	0	0	0	0	0	0	0
233.066676	C9H14O7	(-)-threo-Iso(homo)3-citrate	KEGGREST	C16600	0	0	-2.014292419	0	0	0	0	0	0	0	0	0	0	0
237.040461	C11H10O6				0	0	-2.070863244	0	0	0	0	0	0	0	0	0	0	0
238.03571	C10H9NO6				-2.534244617	-3.536805394	-3.536805394	0	0	-2.735952914	0	0	-3.019582712	-3.536805394	-3.536805394	-2.047642636	0	0
238.050966	C14H9NO3	Dianthalexin	KEGGREST	C08477	0	0	0	0	0	0	0	0	0	0	2.345201501	0	0	0
238.050966	C14H9NO3	Crinasiadine	KEGGREST	C10583	0	0	0	0	0	0	0	0	0	0	2.345201501	0	0	0
239.067344	C10H12N2O5	Dinoseb	KEGGREST	C14302	0	0	0	2.030169009	0	2.079423625	0	0	0	0	0	0	0	0
239.067344	C10H12N2O5	Dinoterb	KEGGREST	C18671	0	0	0	2.030169009	0	2.079423625	0	0	0	0	0	0	0	0
241.071761	C11H14O6				0	0	2.260243662	0	0	0	0	0	0	0	0	0	0	0
241.082995	C10H14N2O5	Thymidine	Pathos	C00214	0	0	2.182064382	0	0	0	0	0	0	0	0	0	0	0
241.082995	C10H14N2O5	HC Yellow No. 4	KEGGREST	C19431	0	0	2.182064382	0	0	0	0	0	0	0	0	0	0	0
241.082995	C10H14N2O5	gamma-L-Glutamyl-L-propargylglycine	KEGGREST	C22139	0	0	2.182064382	0	0	0	0	0	0	0	0	0	0	0
242.176166	C13H25NO3				0	0	2.413047037	0	0	0	0	0	0	0	0	0	0	0
243.051026	C10H12O7				0	0	-2.17845213	0	0	0	0	0	0	0	0	0	0	0
243.123796	C12H20O5				0	0	0	0	0	2.178442925	0	0	0	0	0	0	0	0
244.046275	C9H11NO7				0	0	-2.961401724	0	-2.86828712	-2.594055578	0	0	0	0	-2.433439501	0	0	0
244.061531	C13H11NO4	Haplopine	KEGGREST	C10694	0	0	-2.778964867	0	0	0	0	0	0	0	0	0	-3.724631227	0
245.03029	C9H10O8				0	0	-2.186109167	0	0	0	0	0	0	0	-2.186109167	0	0	0
245.077909	C9H14N2O6				0	0	0	0	-2.018560526	0	0	0	0	0	0	0	0	0
245.154703	C16H22O2	Geranylhydroquinone	KEGGREST	C10793	0	0	0	0	0	2.342353161	0	0	0	0	0	0	0	0
247.07243	C12H12N2O4	5-Hydroxyindoleacetylglycine	Pathos	C05832	0	0	2.305037487	0	0	0	0	0	0	0	0	0	0	0
247.118711	C11H20O6				0	0	2.024038251	0	0	2.355553653	2.14300859	0	0	0	0	0	0	0
248.056445	C12H11NO5				0	-2.344266836	0	0	0	0	0	0	0	0	0	0	0	0
252.99899	C10H6O8				2.567583436	0	4.060676189	2.476690775	3.557022162	3.507760864	4.813899301	0	0	2.437578729	3.497577715	0	0	0
253.035376	C11H10O7				0	0	-2.375693438	0	0	0	0	0	0	0	0	0	0	0
256.119046	C12H19NO5				0	0	0	0	0	0	0	0	0	2.035214102	0	0	0	0
257.03029	C10H10O8				0	0	-2.584035954	0	0	0	0	0	0	0	0	0	0	0
257.077909	C10H14N2O6	(1-Ribosylimidazole)-4-acetate	Pathos	C05131	3.34661224	0	0	2.146085787	0	0	0	0	0	0	2.182070637	0	0	3.250694039
257.077909	C10H14N2O6	Spongothymidine	KEGGREST	C16744	3.34661224	0	0	2.146085787	0	0	0	0	0	0	2.182070637	0	0	3.250694039
257.077909	C10H14N2O6	L-gamma-Glutamyl-(3R)-L-beta-ethynylserine	KEGGREST	C22140	3.34661224	0	0	2.146085787	0	0	0	0	0	0	2.182070637	0	0	3.250694039
257.093165	C14H14N2O3				2.888079213	0	3.726805592	2.168488526	0	2.176005022	2.475691086	0	0	0	2.688089234	2.264162212	0	0
259.04594	C10H12O8				0	-2.012884808	-2.654732999	0	0	-2.382780016	0	0	0	0	-2.24777233	0	0	0
260.077575	C10H15NO7	Hymexazol O-glucoside	KEGGREST	C11102	2.371386198	2.688584282	0	0	0	2.070997831	2.040048111	0	0	0	0	2.633807143	0	0
260.077575	C10H15NO7	Hymexazol N-glucoside	KEGGREST	C11104	2.371386198	2.688584282	0	0	0	2.070997831	2.040048111	0	0	0	0	2.633807143	0	0
262.014581	C15H5NO4				0	0	3.912965244	0	0	0	0	0	0	0	0	0	0	0
265.035376	C12H10O7				0	0	0	0	0	-2.017880149	0	0	0	0	0	0	0	0
267.01464	C11H8O8				0	0	0	0	0	0	2.06859785	0	0	0	0	0	0	2.021773291
269.077909	C11H14N2O6	Clitidine	KEGGREST	C19977	0	0	2.56273744	0	0	0	0	0	0	0	2.505096452	0	0	0
270.207466	C15H29NO3				0	0	3.633342916	0	0	0	0	0	0	0	0	2.381604794	0	0
271.024811	C14H8O6				0	0	-2.576786938	0	0	-2.576786938	0	0	0	0	0	0	0	0
271.227867	C16H32O3	16-Hydroxypalmitate	KEGGREST	C18218	0	0	2.070674335	0	0	0	0	0	0	0	0	0	0	0
272.11396	C12H19NO6				2.336771228	0	0	0	0	0	0	0	0	2.896838517	0	0	0	0
274.056839	C10H13NO8	3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole	KEGGREST	C11107	0	0	-2.539798698	0	-2.194730541	0	0	0	0	0	0	0	0	0
274.056839	C10H13NO8	C20911	KEGGREST	C20911	0	0	-2.539798698	0	-2.194730541	0	0	0	0	0	0	0	0	0
274.072095	C14H13NO5				0	0	-2.507148204	0	0	0	0	0	0	0	0	0	-3.200248063	0
274.093225	C11H17NO7	Cardiospermin	KEGGREST	C08328	0	0	0	0	0	2.110754147	0	0	0	0	0	2.350431814	0	0
274.093225	C11H17NO7	Sarmentosin	KEGGREST	C08340	0	0	0	0	0	2.110754147	0	0	0	0	0	2.350431814	0	0
274.093225	C11H17NO7	"1,6-Anhydro-N-acetyl-beta-muramate"	KEGGREST	C19769	0	0	0	0	0	2.110754147	0	0	0	0	0	2.350431814	0	0
275.07724	C11H16O8	Ranunculin	KEGGREST	C08512	0	0	0	0	-3.003781171	0	0	0	0	0	0	0	0	0
276.087746	C14H15NO5				0	0	0	0	2.021599794	0	0	0	0	0	0	0	-2.110148338	0
277.11938	C14H18N2O4	alpha-Ribazole	Pathos	C05775	-2.607609857	0	0	-2.607609857	0	0	0	-2.607609857	0	0	0	0	-2.607609857	-2.111130294
277.11938	C14H18N2O4	Oxadixyl	KEGGREST	C18753	-2.607609857	0	0	-2.607609857	0	0	0	-2.607609857	0	0	0	0	-2.607609857	-2.111130294
277.165661	C13H26O6				-2.250717288	0	0	0	0	0	0	0	0	0	0	0	0	0
277.217303	C18H30O2	"(6Z,9Z,12Z)-Octadecatrienoic acid"	Pathos	C06426	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
277.217303	C18H30O2	"(9Z,12Z,15Z)-Octadecatrienoic acid"	Pathos	C06427	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
277.217303	C18H30O2	Crepenynate	Pathos	C07289	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
277.217303	C18H30O2	"(9Z,11E,13E)-Octadecatrienoic acid"	KEGGREST	C08315	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
277.217303	C18H30O2	Punicic acid	KEGGREST	C08364	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
277.217303	C18H30O2	"5beta-Estrane-3alpha,17beta-diol"	KEGGREST	C15201	0	0	0	0	0	0	0	0	2.083875236	0	0	2.474299146	0	0
278.088139	C10H17NO8				3.296618194	0	0	0	0	0	0	0	0	0	2.522742136	0	0	2.54217251
278.103396	C14H17NO5				0	0	0	0	2.1292999	0	0	0	0	0	0	0	0	0
282.134696	C14H21NO5				4.310779839	0	2.708750434	2.327300765	0	0	0	0	2.099189086	2.590218587	2.788270307	0	0	3.283746727
283.264253	C18H36O2	Octadecanoic acid	Pathos	C01530	0	0	2.016063837	0	0	0	0	0	0	0	0	0	0	0
283.264253	C18H36O2	Isooctadecanoic acid	KEGGREST	C20356	0	0	2.016063837	0	0	0	0	0	0	0	0	0	0	0
285.025205	C11H10O9				0	0	0	0	0	-2.374284752	0	0	0	0	0	0	0	0
286.12961	C13H21NO6				3.267275774	0	0	0	0	0	0	0	0	0	0	0	0	2.285515894
286.98334	C13H4O8				0	0	3.766031546	0	0	2.840153066	0	0	0	0	0	0	0	0
287.040855	C11H12O9				0	0	-2.560929382	0	0	-2.229019507	0	0	0	0	0	0	0	0
287.10373	C15H16N2O4				2.458698286	0	2.039202989	0	0	0	0	0	0	0	0	0	0	0
287.186397	C15H28O5				2.287732212	0	2.126739963	0	0	0	2.453777508	2.281740773	2.587313965	0	0	0	2.366783928	0
289.056505	C11H14O9				0	0	-2.077781141	0	0	0	0	0	0	0	-2.077781141	0	0	0
289.09289	C12H18O8				0	0	-2.013229993	0	0	0	0	0	0	0	0	0	0	0
289.144532	C17H22O4	Laurenobiolide	KEGGREST	C09492	0	0	2.748899534	0	0	0	0	0	0	0	0	0	0	0
289.144532	C17H22O4	Tulipinolide	KEGGREST	C09564	0	0	2.748899534	0	0	0	0	0	0	0	0	0	0	0
289.144532	C17H22O4	epi-Tulipinolide	KEGGREST	C09566	0	0	2.748899534	0	0	0	0	0	0	0	0	0	0	0
289.144532	C17H22O4	1-Dehydro-[6]-gingerdione	Pathos	C17746	0	0	2.748899534	0	0	0	0	0	0	0	0	0	0	0
290.06701	C14H13NO6	Lycoricidine	KEGGREST	C08531	0	0	0	0	0	0	0	0	0	0	0	0	-2.23143124	0
290.088139	C11H17NO8	"2,7-Anhydro-alpha-N-acetylneuraminic acid"	KEGGREST	C04521	2.178701709	2.444287904	2.129195783	0	0	2.36535925	0	0	0	2.29665313	2.125612087	2.387180455	0	0
290.088139	C11H17NO8	"2-Deoxy-2,3-dehydro-N-acetylneuraminic acid"	KEGGREST	C04580	2.178701709	2.444287904	2.129195783	0	0	2.36535925	0	0	0	2.29665313	2.125612087	2.387180455	0	0
