	Mlp124466	Mlp123227	Mlp123218	Mlp102036	Mlp106078	Mlp124499	Mlp124497	Mlp124518	Mlp37347	Mlp123531	Mlp72983	Mlp124357	Mlp124266	Mlp124256	Pathway name	Pathway ID
AT1G49570	0	0	0	0	0	0	0	0	0	0	2.48904533	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT1G60270	0	-2.088841541	0	0	0	0	0	-2.314462416	0	0	0	0	-2.050808715	0	Phenylpropanoid biosynthesis	path:ath00940
AT1G66270	2.449662426	0	0	0	0	0	0	0	0	0	2.090791213	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT1G66280	2.857533489	0	2.10059652	0	0	0	0	0	0	0	2.538580463	2.752320591	0	2.396424332	Phenylpropanoid biosynthesis	path:ath00940
AT1G67980	-2.348118148	0	0	0	0	0	0	0	0	-2.434273352	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT1G68850	0	0	0	0	0	0	0	0	0	0	0	2.496220592	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT1G80820	0	0	-2.000663109	0	0	0	0	0	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G18150	0	0	0	0	0	0	2.354408294	0	2.937934721	0	0	2.480168853	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G37040	0	0	0	0	0	0	0	-2.076065272	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G37130	0	0	0	0	0	0	0	2.629017538	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G38380	0	0	0	0	0	0	0	0	2.868186581	0	0	2.247742117	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G38390	0	0	0	0	0	0	0	2.525242439	2.566430705	0	0	2.584008145	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT2G41480	0	-2.475058391	0	0	0	0	0	0	0	0	0	0	-2.299296617	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G13610	0	0	0	0	0	0	-2.388308801	0	-2.533391774	0	-2.240216605	-2.252590259	-2.406644924	-2.21580006	Phenylpropanoid biosynthesis	path:ath00940
AT3G19450	0	0	0	0	0	0	0	-2.50313393	0	0	0	0	-2.043981064	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G21230	0	-2.545831631	0	0	0	0	0	0	0	0	-2.233847413	0	-2.573144304	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G32980	0	0	0	0	0	0	0	2.034218213	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G47010	0	0	-3.559610784	-4.213799648	0	0	0	0	0	-4.666090747	-3.992298966	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G60120	-2.337131273	0	0	0	0	0	-2.712014142	0	-2.876163956	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT4G08770	0	0	0	0	0	-2.102563144	0	0	-2.166250372	0	-2.435557674	0	-2.272553336	0	Phenylpropanoid biosynthesis	path:ath00940
AT4G27820	0	-2.183481156	0	0	0	0	0	0	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT4G37530	0	0	0	0	0	-2.228782226	0	0	0	0	-2.137701038	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT4G37990	-2.545643075	0	0	0	0	0	0	0	-2.12877341	-2.209534789	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT5G06730	0	0	0	-2.23490296	0	-2.286345463	0	0	0	0	0	0	-2.177992685	0	Phenylpropanoid biosynthesis	path:ath00940
AT5G19880	0	0	0	0	0	0	0	0	0	0	-2.758600839	-2.054395483	-2.359202999	-2.210757147	Phenylpropanoid biosynthesis	path:ath00940
AT5G39580	0	0	0	0	0	0	-2.088164175	0	0	-2.332357892	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT5G42180	2.260593676	0	0	0	0	0	0	0	0	0	0	0	0	0	Phenylpropanoid biosynthesis	path:ath00940
AT3G44590	0	0	0	-2.426459233	0	0	0	0	0	0	0	0	0	0	Ribosome	path:ath03010
ATCG00050	0	0	0	0	0	0	0	2.046530799	0	0	0	0	0	0	Ribosome	path:ath03010
ATCG00160	0	0	0	0	0	0	-2.404428887	0	-2.335980508	-3.103533306	0	0	0	0	Ribosome	path:ath03010
ATCG00330	0	0	0	0	0	0	-2.523022895	0	-2.685864059	-2.701534466	0	0	0	0	Ribosome	path:ath03010
ATCG00380	0	0	0	0	0	0	0	2.367456819	0	0	0	0	0	0	Ribosome	path:ath03010
ATCG00650	0	0	0	0	0	0	0	2.356887668	0	0	0	0	0	2.027040176	Ribosome	path:ath03010
ATCG00760	0	0	0	0	0	0	0	0	0	0	0	0	0	2.769043472	Ribosome	path:ath03010
ATCG00770	0	0	0	0	0	0	0	0	0	0	0	0	0	2.869616876	Ribosome	path:ath03010
ATCG00790	0	0	0	0	2.295103883	0	0	2.143778108	0	0	0	0	0	3.2374383	Ribosome	path:ath03010
ATCG00820	0	0	0	0	2.171181461	0	0	0	0	0	0	0	0	3.066049211	Ribosome	path:ath03010
ATCG00830	0	0	0	0	0	0	0	0	0	0	0	0	0	2.352100895	Ribosome	path:ath03010
ATCG00840	0	0	0	0	0	0	0	0	0	0	0	0	0	2.404479216	Ribosome	path:ath03010
ATCG01020	0	0	0	0	0	0	0	2.064624173	0	0	0	0	0	2.455510853	Ribosome	path:ath03010
ATCG01120	0	0	0	0	0	0	0	0	0	0	0	0	0	2.434061938	Ribosome	path:ath03010
ATMG00080	0	0	0	0	-2.020097356	0	0	0	-2.164046233	-2.268817114	0	0	0	0	Ribosome	path:ath03010
AT1G04310	-2.41357169	0	0	0	0	0	-2.769316822	0	-2.902129069	-3.292209037	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G20620	0	0	0	0	0	0	0	2.303562217	0	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G54960	0	0	0	0	0	0	0	-2.085602794	0	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G72770	0	0	0	0	0	0	0	0	-2.313914842	-2.39413618	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G73500	0	0	0	0	0	0	0	0	0	0	-2.126508888	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G78290	0	0	-2.227055027	0	0	0	-2.625165905	0	-2.641914764	-3.128769475	-2.098834565	0	0	-2.350528275	MAPK signaling pathway - plant	path:ath04016
AT2G14610	0	0	0	0	0	0	0	0	0	0	-2.298412664	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT2G19190	-3.38133397	0	0	0	0	0	-2.394755221	0	-2.625589699	-2.80465884	-2.273069981	-2.35232686	-2.892520102	-2.34132505	MAPK signaling pathway - plant	path:ath04016
AT2G23030	0	0	0	0	0	0	0	2.200638902	0	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT2G26020	0	0	-2.133516393	-2.632013856	0	0	-2.08112937	0	-3.066031677	-2.917394248	-2.789561296	0	-2.014479615	-2.242780883	MAPK signaling pathway - plant	path:ath04016
AT2G26040	0	0	0	0	0	0	0	0	0	0	-2.029216558	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT2G38310	0	0	0	0	0	-2.106443407	0	0	0	0	-2.31935517	0	-2.331989478	0	MAPK signaling pathway - plant	path:ath04016
AT2G38470	0	0	0	0	0	0	-2.94231076	0	-2.658332772	-2.890325819	-2.148002068	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT2G41090	0	0	0	0	0	0	0	0	0	0	-2.163196004	0	-2.254885549	0	MAPK signaling pathway - plant	path:ath04016
AT3G23150	-2.318164728	0	0	0	0	0	0	0	0	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT3G23240	0	0	0	0	0	0	-3.223657735	0	-2.758669862	-2.881732426	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT3G25250	0	0	0	0	0	-2.098717351	0	0	0	0	0	0	0	-2.060053391	MAPK signaling pathway - plant	path:ath04016
AT3G26830	-2.437601701	0	0	0	0	0	-2.376545384	0	-2.693743657	0	-2.293288957	0	0	-2.166534482	MAPK signaling pathway - plant	path:ath04016
AT3G45640	0	0	0	0	0	0	0	0	0	-2.031335092	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT4G01026	0	0	0	0	0	0	0	0	0	0	0	0	2.051702066	0	MAPK signaling pathway - plant	path:ath04016
AT4G11280	2.274556361	0	0	0	0	0	0	0	0	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT5G24770	0	0	0	0	0	0	2.077754118	0	2.265115049	0	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT5G44420	-2.020120483	-2.513840193	0	-2.504880701	0	0	0	0	-2.839114792	0	-2.954905606	0	-2.573913808	-2.407066332	MAPK signaling pathway - plant	path:ath04016
AT5G44430	0	0	0	-2.128453112	0	0	0	0	-2.235849632	0	-2.137310717	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT5G47910	0	0	0	0	0	0	0	0	0	0	-2.026360888	0	-2.239444767	0	MAPK signaling pathway - plant	path:ath04016
AT5G49480	0	0	0	0	0	-3.114882222	0	-2.299565596	-2.098802372	-2.01460085	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT5G51060	0	0	0	0	0	-2.187050839	0	-2.009849652	0	-2.079814268	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT5G63650	0	0	0	0	0	0	-2.56767989	0	-2.283003602	-2.83659361	0	0	0	0	MAPK signaling pathway - plant	path:ath04016
AT1G04240	0	0	0	0	0	0	0	0	0	-2.090060031	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G04310	-2.41357169	0	0	0	0	0	-2.769316822	0	-2.902129069	-3.292209037	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G15050	0	0	0	2.196179995	0	0	0	0	0	0	2.090891279	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G15580	0	0	0	0	0	0	0	-2.251186897	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G17380	0	0	0	0	0	0	-2.010030605	0	0	-2.044471596	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G19050	0	0	0	0	0	0	0	0	0	0	0	0	2.290935005	0	Plant hormone signal transduction	path:ath04075
AT1G19180	0	0	0	0	0	0	-2.218992219	0	0	-2.235125004	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G49720	0	0	2.289066311	0	0	2.547717361	0	0	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G52830	0	0	0	0	0	0	-2.612518598	0	-3.157299535	-2.831531475	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G72770	0	0	0	0	0	0	0	0	-2.313914842	-2.39413618	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G75590	0	0	0	0	0	0	-2.870704581	0	-2.811699743	-2.610255422	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G78290	0	0	-2.227055027	0	0	0	-2.625165905	0	-2.641914764	-3.128769475	-2.098834565	0	0	-2.350528275	Plant hormone signal transduction	path:ath04075
AT2G01200	0	0	0	0	0	2.211030648	0	0	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G14610	0	0	0	0	0	0	0	0	0	0	-2.298412664	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G23030	0	0	0	0	0	0	0	2.200638902	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G23170	0	0	0	0	0	0	0	0	-2.046852009	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G26040	0	0	0	0	0	0	0	0	0	0	-2.029216558	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G36270	0	0	0	0	0	2.201123574	0	0	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G38310	0	0	0	0	0	-2.106443407	0	0	0	0	-2.31935517	0	-2.331989478	0	Plant hormone signal transduction	path:ath04075
AT2G41070	0	0	0	0	0	0	-2.190868038	0	-2.223402141	-2.184855258	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G46990	0	0	0	0	0	0	0	0	0	-2.348531294	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT2G47750	0	0	0	0	0	0	0	-2.047890189	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G15540	0	0	0	0	0	0	-2.75906469	0	-2.954710006	-2.606391291	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G16360	2.002922411	0	2.045199583	0	0	0	0	0	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G23030	0	0	0	0	0	0	0	0	0	-2.180348059	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G23050	0	0	0	0	0	0	-2.013514114	0	-2.063218893	-2.16066469	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G23150	-2.318164728	0	0	0	0	0	0	0	0	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G23240	0	0	0	0	0	0	-3.223657735	0	-2.758669862	-2.881732426	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT3G62100	0	0	0	0	0	0	-2.133221843	0	-2.294102167	0	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT4G01026	0	0	0	0	0	0	0	0	0	0	0	0	2.051702066	0	Plant hormone signal transduction	path:ath04075
AT4G26120	0	0	0	0	0	0	-3.158654218	0	-3.184651657	-3.251262135	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT4G27260	0	0	0	0	0	0	-2.132074022	0	-2.265890465	-2.638179931	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT4G32280	0	0	0	0	0	0	-2.046162654	0	-2.394821157	-2.404362673	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT4G36110	0	0	0	0	0	0	0	0	0	-2.01628103	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT5G13320	0	-2.359023105	0	0	0	-2.554311746	-2.57099475	-2.455477379	-2.894826984	-2.071794481	-2.995098176	-2.000344781	-3.211464206	-2.713955908	Plant hormone signal transduction	path:ath04075
AT5G18020	0	0	0	0	0	0	0	0	0	-2.070009049	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT5G18050	0	0	0	0	0	0	-2.026949192	0	-2.392734679	-2.394543863	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT5G18060	0	0	0	0	0	0	0	0	0	-2.114234623	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT5G47220	0	0	0	0	0	0	0	0	0	0	-2.263352345	0	0	0	Plant hormone signal transduction	path:ath04075
AT5G62920	0	0	0	0	0	0	0	0	0	0	2.144894784	0	2.703255887	0	Plant hormone signal transduction	path:ath04075
AT5G63650	0	0	0	0	0	0	-2.56767989	0	-2.283003602	-2.83659361	0	0	0	0	Plant hormone signal transduction	path:ath04075
AT1G01340	0	0	0	0	0	0	-2.800727456	0	-2.592091655	-2.611766039	-2.82559709	0	-2.373980093	0	Plant-pathogen interaction	path:ath04626
AT1G21550	0	0	0	0	0	0	0	0	0	-2.024019249	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT1G66400	2.13756239	0	0	0	0	0	0	0	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G04030	0	0	0	0	0	0	0	-2.275229226	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G13790	0	0	0	0	0	0	0	0	0	0	-2.043737442	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G14610	0	0	0	0	0	0	0	0	0	0	-2.298412664	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G15090	0	0	0	0	0	2.015102844	0	0	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G19190	-3.38133397	0	0	0	0	0	-2.394755221	0	-2.625589699	-2.80465884	-2.273069981	-2.35232686	-2.892520102	-2.34132505	Plant-pathogen interaction	path:ath04626
AT2G38470	0	0	0	0	0	0	-2.94231076	0	-2.658332772	-2.890325819	-2.148002068	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G41090	0	0	0	0	0	0	0	0	0	0	-2.163196004	0	-2.254885549	0	Plant-pathogen interaction	path:ath04626
AT2G41100	0	0	0	0	0	0	0	0	0	-2.164015692	-2.006109778	0	0	0	Plant-pathogen interaction	path:ath04626
AT2G46430	0	0	0	0	0	0	0	0	0	0	-2.664322194	0	-2.136641341	0	Plant-pathogen interaction	path:ath04626
AT2G46440	0	-2.172618785	0	0	0	0	0	0	0	0	-2.663156808	0	-2.503258163	0	Plant-pathogen interaction	path:ath04626
AT2G46450	0	-2.244795523	0	0	0	0	0	-2.520963344	0	0	-2.20928809	0	-2.607265051	0	Plant-pathogen interaction	path:ath04626
AT3G01830	0	-2.080430005	0	0	0	-2.064643823	-2.971263716	0	-2.370342385	-2.238135527	-2.786327646	0	-2.994157209	-3.060813039	Plant-pathogen interaction	path:ath04626
AT3G10280	0	0	2.079155364	0	0	0	0	0	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
